Mois,sex,Ethnie,nTirs,prop
1912,F,Betty,2011,0.003427599419132
1912,F,Patricia,504,0.000859030386495
1912,F,Amanda,310,0.00052837186471
1912,F,Linda,189,0.000322136394936
1912,F,Jessica,36,6.13593133211069E-05
1912,F,Deborah,32,5.45416118409839E-05
1913,F,Helen,18889,0.028842395221284
1913,F,Dorothy,14674,0.022406337417393
1913,F,Betty,2239,0.003418821689897
1913,F,Patricia,588,0.000897841515703
1913,F,Amanda,346,0.00052832170822
1913,F,Linda,238,0.00036341204207
1913,F,Deborah,42,6.41315368359332E-05
1913,F,Jessica,25,3.81735338309126E-05
1914,F,Helen,23221,0.02914984534426
1914,F,Dorothy,18782,0.023577468466297
1914,F,Betty,2933,0.003681861091026
1914,F,Patricia,656,0.000823491604403
1914,F,Amanda,375,0.000470745962883
1914,F,Linda,219,0.000274915642323
1914,F,Deborah,62,7.78299991965936E-05
1914,F,Jessica,42,5.27235478428537E-05
1915,F,Helen,30866,0.030146051986459
1915,F,Dorothy,25154,0.024567284120631
1915,F,Betty,4182,0.004084455044624
1915,F,Patricia,895,0.000874124166652
1915,F,Amanda,412,0.000402390119174
1915,F,Linda,290,0.000283235763496
1915,F,Deborah,106,0.000103527554933
1915,F,Jessica,55,5.37171275596211E-05
1916,F,Helen,32661,0.03008267416285
1916,F,Dorothy,27415,0.025250804083603
1916,F,Betty,5136,0.004730553703206
1916,F,Patricia,1078,0.000992900485213
1916,F,Amanda,421,0.000387765402852
1916,F,Linda,297,0.000273554215314
1916,F,Deborah,90,8.28952167617813E-05
1916,F,Jessica,53,4.8816072093049E-05
1917,F,Helen,34249,0.030478721226802
1917,F,Dorothy,28853,0.025676736358928
1917,F,Betty,6639,0.005908150025541
1917,F,Patricia,1441,0.001282368457118
1917,F,Amanda,445,0.000396012465938
1917,F,Linda,291,0.000258965455254
1917,F,Deborah,89,7.92024931876957E-05
1917,F,Jessica,55,4.89453609586883E-05
1917,F,Ashley,5,4.44957826897167E-06
1918,F,Helen,36150,0.030065795437817
1918,F,Dorothy,32034,0.026642536405395
1918,F,Betty,8802,0.007320584548926
1918,F,Patricia,1760,0.001463784231551
1918,F,Amanda,397,0.000330183147685
1918,F,Linda,322,0.000267805978727
1918,F,Deborah,92,7.65159939219687E-05
1918,F,Jessica,56,4.65749528220679E-05
1919,F,Helen,33705,0.028693653428681
1919,F,Dorothy,31734,0.027015706806283
1919,F,Betty,10107,0.008604265100243
1919,F,Patricia,2144,0.001825224534968
1919,F,Amanda,379,0.000322649299791
1919,F,Linda,282,0.000240071510663
1919,F,Deborah,70,5.95922189588388E-05
1919,F,Jessica,40,3.40526965479079E-05
1920,F,Dorothy,36645,0.0294564957019
1920,F,Helen,35098,0.028212964555745
1920,F,Betty,14017,0.011267340708242
1920,F,Patricia,2502,0.002011192584149
1920,F,Amanda,379,0.000304653073298
1920,F,Linda,349,0.000280538054304
1920,F,Deborah,82,6.59143852518974E-05
1920,F,Jessica,43,3.45648605589218E-05
1921,F,Dorothy,39083,0.030541205190981
1921,F,Helen,34819,0.027209124774065
1921,F,Betty,17637,0.013782341067813
1921,F,Patricia,3382,0.002642846146813
1921,F,Amanda,392,0.000306326342268
1921,F,Linda,367,0.000286790223501
1921,F,Deborah,94,7.34558065642922E-05
1921,F,Jessica,48,3.75093480328301E-05
1922,F,Dorothy,37711,0.030228507347713
1922,F,Helen,32507,0.026057067920557
1922,F,Betty,20893,0.016747479621749
1922,F,Patricia,3902,0.00312777798708
1922,F,Linda,365,0.000292577899868
1922,F,Amanda,341,0.000273339900972
1922,F,Deborah,71,5.69124133989456E-05
1922,F,Jessica,40,3.20633314923637E-05
1923,F,Dorothy,39045,0.031175743522919
1923,F,Helen,31492,0.025144999744494
1923,F,Betty,25990,0.020751890745567
1923,F,Patricia,4800,0.003832592365476
1923,F,Linda,423,0.000337747202208
1923,F,Amanda,362,0.000289041340896
1923,F,Deborah,118,9.42178956512852E-05
1923,F,Jessica,52,4.15197506259901E-05
1924,F,Dorothy,39996,0.03086787536775
1924,F,Helen,31193,0.024073948303486
1924,F,Betty,30602,0.023617829833081
1924,F,Patricia,6958,0.005370003920612
1924,F,Linda,454,0.000350385423966
1924,F,Amanda,341,0.000263174955006
1924,F,Deborah,125,9.64717576999898E-05
1924,F,Jessica,41,3.16427365255967E-05
1925,F,Dorothy,38572,0.030538871901736
1925,F,Betty,32817,0.025982426609957
1925,F,Helen,29168,0.023093379021825
1925,F,Patricia,8095,0.006409109406942
1925,F,Linda,438,0.000346780718992
1925,F,Amanda,310,0.000245438408419
1925,F,Deborah,82,6.49224177108356E-05
1925,F,Jessica,34,2.69190512459562E-05
1926,F,Dorothy,36614,0.029764648403363
1926,F,Betty,32959,0.026793386320163
1926,F,Helen,26884,0.021854831694871
1926,F,Patricia,8590,0.006983075593622
1926,F,Linda,479,0.000389393854406
1926,F,Amanda,310,0.00025200854878
1926,F,Deborah,116,9.42999730919904E-05
1926,F,Jessica,35,2.84525780881006E-05
1927,F,Dorothy,35987,0.029107500477212
1927,F,Betty,35422,0.028650509403501
1927,F,Helen,25316,0.020476435437272
1927,F,Patricia,10553,0.008535622656404
1927,F,Linda,516,0.00041735821953
1927,F,Amanda,234,0.000189267099554
1927,F,Deborah,91,7.360387204897E-05
1927,F,Jessica,39,3.15445165924157E-05
1928,F,Betty,36078,0.030181071370312
1928,F,Dorothy,33728,0.028215177536944
1928,F,Helen,22936,0.019187123813667
1928,F,Patricia,12332,0.010316341597059
1928,F,Linda,554,0.000463449014334
1928,F,Amanda,247,0.000206627990145
1928,F,Deborah,130,0.000108751573761
1928,F,Jessica,36,3.01158204260552E-05
1929,F,Betty,36669,0.031680001658775
1929,F,Dorothy,31477,0.027194398871342
1929,F,Helen,20983,0.018128159339117
1929,F,Patricia,13626,0.011772115481809
1929,F,Linda,509,0.000439748039061
1929,F,Amanda,209,0.000180564518986
1929,F,Deborah,161,0.000139095155774
1929,F,Jessica,42,3.62856928105083E-05
1930,F,Betty,38239,0.032785353206258
1930,F,Dorothy,30404,0.026067781032011
1930,F,Helen,19914,0.017073865000377
1930,F,Patricia,15749,0.013502877367226
1930,F,Linda,493,0.000422688332087
1930,F,Amanda,196,0.000168046476854
1930,F,Deborah,165,0.000141467697352
1930,F,Jessica,38,3.25804393900942E-05
1931,F,Betty,36102,0.032714036262542
1931,F,Dorothy,26521,0.024032157656609
1931,F,Helen,17657,0.015999992750754
1931,F,Patricia,16468,0.014922573518685
1931,F,Linda,534,0.000483887190854
1931,F,Amanda,209,0.000189386559716
1931,F,Deborah,158,0.000143172614522
1931,F,Jessica,39,3.53400757365008E-05
1932,F,Betty,34411,0.031108322703534
1932,F,Dorothy,24968,0.022571637013218
1932,F,Patricia,17991,0.016264271127235
1932,F,Helen,16375,0.014803370557972
1932,F,Linda,774,0.000699713515229
1932,F,Amanda,213,0.000192556820082
1932,F,Deborah,208,0.000188036706935
1932,F,Jessica,44,3.97769956977563E-05
1933,F,Betty,31526,0.030143498581078
1933,F,Dorothy,22050,0.021083047126586
1933,F,Patricia,18625,0.017808242754316
1933,F,Helen,14645,0.014002776651649
1933,F,Linda,786,0.000751531747914
1933,F,Deborah,243,0.00023234378466
1933,F,Amanda,199,0.000190273305133
1933,F,Jessica,43,4.11143322649981E-05
1934,F,Betty,31078,0.028718117419195
1934,F,Dorothy,21280,0.019664120557323
1934,F,Patricia,20847,0.01926400005914
1934,F,Helen,14099,0.013028403935042
1934,F,Linda,1001,0.000924989881479
1934,F,Deborah,280,0.000258738428386
1934,F,Amanda,189,0.00017464843916
1934,F,Jessica,46,4.25070275205281E-05
1935,F,Betty,28673,0.026385945409722
1935,F,Patricia,22876,0.021051333560939
1935,F,Dorothy,19400,0.017852590972294
1935,F,Helen,12778,0.011758783888865
1935,F,Linda,1197,0.001101523267724
1935,F,Deborah,279,0.000256746024808
1935,F,Amanda,211,0.00019416993274
1935,F,Jessica,47,4.32511224586515E-05
1936,F,Betty,25863,0.02400436594894
1936,F,Patricia,23912,0.022193573776091
1936,F,Dorothy,17668,0.016398296314653
1936,F,Helen,12232,0.011352952259499
1936,F,Linda,2439,0.002263722249912
1936,F,Deborah,299,0.000277512485742
1936,F,Amanda,192,0.000178201997533
1936,F,Jessica,43,3.99098223641651E-05
1937,F,Patricia,26837,0.02435911749142
1937,F,Betty,25328,0.022989444715232
1937,F,Dorothy,16571,0.015040985801331
1937,F,Helen,11452,0.010394627324654
1937,F,Linda,4380,0.003975590960704
1937,F,Deborah,323,0.000293177141623
1937,F,Amanda,176,0.000159749773763
1937,F,Jessica,72,6.53521801759607E-05
1938,F,Patricia,27555,0.024142907084636
1938,F,Betty,25502,0.022344126890669
1938,F,Dorothy,16348,0.014323652513868
1938,F,Helen,10833,0.009491566410737
1938,F,Linda,7047,0.006174380919086
1938,F,Deborah,410,0.000359230335863
1938,F,Amanda,192,0.00016822493777
1938,F,Jessica,50,4.38085775442489E-05
1938,F,Ashley,7,6.13320085619484E-06
1939,F,Patricia,29704,0.026194165219715
1939,F,Betty,23639,0.020845807690171
1939,F,Dorothy,15170,0.013377507621299
1939,F,Linda,10714,0.009448030102479
1939,F,Helen,10417,0.009186123723868
1939,F,Deborah,443,0.00039065496877
1939,F,Amanda,185,0.000163140336845
1939,F,Jessica,77,6.79016537139118E-05
1940,F,Patricia,32661,0.027650413304301
1940,F,Betty,22074,0.018687585293749
1940,F,Linda,18368,0.015550129866612
1940,F,Dorothy,14874,0.012592151112586
1940,F,Helen,10201,0.008636045011395
1940,F,Deborah,469,0.000397049809856
1940,F,Amanda,218,0.000184556201596
1940,F,Jessica,61,5.16418729237427E-05
1941,F,Patricia,36901,0.029620134081656
1941,F,Linda,23715,0.01903583858829
1941,F,Betty,20900,0.016776260868448
1941,F,Dorothy,14561,0.011687996866291
1941,F,Helen,9889,0.007937820274071
1941,F,Deborah,608,0.000488036679809
1941,F,Amanda,223,0.000179000295391
1941,F,Jessica,81,6.50180445140824E-05
1941,F,Ashley,6,4.81615144548759E-06
1942,F,Patricia,39454,0.028376721220687
1942,F,Linda,31611,0.022735756438058
1942,F,Betty,21654,0.015574327604622
1942,F,Dorothy,15032,0.010811549485207
1942,F,Helen,10013,0.007201706026835
1942,F,Deborah,676,0.000486203263172
1942,F,Amanda,295,0.00021217450094
1942,F,Jessica,127,9.13429207438335E-05
1942,F,Ashley,8,5.7538847712651E-06
1943,F,Patricia,39620,0.027605389252014
1943,F,Linda,38437,0.026781129396256
1943,F,Betty,21595,0.015046400325523
1943,F,Dorothy,14785,0.010301506312242
1943,F,Helen,9799,0.006827491400315
1943,F,Deborah,788,0.00054904206791
1943,F,Amanda,284,0.000197878105693
1943,F,Jessica,121,8.43072210876746E-05
1943,F,Ashley,10,6.96753893286567E-06
1944,F,Linda,38411,0.028110498240304
1944,F,Patricia,36872,0.026984204814154
1944,F,Betty,19757,0.01445885589372
1944,F,Dorothy,13378,0.009790483076691
1944,F,Helen,8693,0.00636183804647
1944,F,Deborah,1293,0.000946262118266
1944,F,Amanda,238,0.000174176631204
1944,F,Jessica,124,9.07474885266633E-05
1944,F,Ashley,12,8.78201501870935E-06
1945,F,Linda,41464,0.030804182010934
1945,F,Patricia,35840,0.026626034229015
1945,F,Betty,18383,0.013656986250892
1945,F,Dorothy,12328,0.009158642577436
1945,F,Helen,8300,0.006166185382277
1945,F,Deborah,1464,0.001087625951766
1945,F,Amanda,280,0.000208015892414
1945,F,Jessica,132,9.80646349952565E-05
1945,F,Ashley,10,7.42913901479216E-06
1946,F,Linda,52708,0.032680423429361
1946,F,Patricia,46295,0.028704185373421
1946,F,Betty,19714,0.012223227356121
1946,F,Dorothy,12796,0.007933875278935
1946,F,Helen,8852,0.005488485774393
1946,F,Deborah,2470,0.001531468579163
1946,F,Amanda,274,0.000169887607567
1946,F,Jessica,240,0.000148806663562
1946,F,Ashley,7,4.34019435390317E-06
1947,F,Linda,99680,0.054836088615735
1947,F,Patricia,51274,0.028206918215121
1947,F,Betty,18962,0.010431399602042
1947,F,Dorothy,12751,0.007014596367769
1947,F,Helen,8978,0.004938988800081
1947,F,Deborah,5838,0.003211607998983
1947,F,Jessica,430,0.000236552147921
1947,F,Amanda,310,0.000170537595013
1947,F,Ashley,11,6.05133401658396E-06
1948,F,Linda,96211,0.055211590583426
1948,F,Patricia,46135,0.02647500526516
1948,F,Betty,16622,0.009538691611954
1948,F,Dorothy,11326,0.006499532017627
1948,F,Deborah,11246,0.006453623262425
1948,F,Helen,8305,0.004765902649337
1948,F,Jessica,482,0.000276600250088
1948,F,Amanda,306,0.000175600988645
1948,F,Ashley,13,7.46017272021426E-06
1949,F,Linda,91010,0.051842809366454
1949,F,Patricia,46337,0.026395344001905
1949,F,Deborah,19208,0.010941618309096
1949,F,Betty,14946,0.00851381857808
1949,F,Dorothy,10406,0.005927659315101
1949,F,Helen,7709,0.004391343999626
1949,F,Jessica,406,0.000231273273297
1949,F,Amanda,333,0.000189689655192
1949,F,Ashley,11,6.26602464598385E-06
1950,F,Linda,80439,0.045731962115454
1950,F,Patricia,47952,0.027262137114587
1950,F,Deborah,29073,0.016528864538129
1950,F,Betty,13614,0.007739963602727
1950,F,Dorothy,9555,0.005432301470843
1950,F,Helen,7060,0.004013819820424
1950,F,Jessica,402,0.000228548947282
1950,F,Amanda,379,0.000215472763731
1950,F,Ashley,15,8.52794579410241E-06
1951,F,Linda,73947,0.040043494576987
1951,F,Patricia,56433,0.030559380765455
1951,F,Deborah,42045,0.022768046431761
1951,F,Betty,12820,0.006942237014037
1951,F,Dorothy,9082,0.004918049653782
1951,F,Helen,6945,0.00376082964606
1951,F,Jessica,466,0.000252346524847
1951,F,Amanda,409,0.000221480104426
1951,F,Ashley,15,8.12274221611151E-06
1952,F,Linda,67092,0.03527175898788
1952,F,Patricia,53090,0.027910595669626
1952,F,Deborah,49809,0.026185700879796
1952,F,Betty,12125,0.006374382604901
1952,F,Dorothy,8608,0.004525417357772
1952,F,Helen,6470,0.003401423130203
1952,F,Jessica,452,0.000237626469065
1952,F,Amanda,418,0.000219751911658
1952,F,Ashley,24,1.26173346406294E-05
1953,F,Linda,61264,0.031757584051539
1953,F,Deborah,52196,0.027056980562061
1953,F,Patricia,51007,0.02644063544197
1953,F,Betty,11367,0.005892342287703
1953,F,Dorothy,8154,0.004226810857212
1953,F,Helen,6120,0.003172440819983
1953,F,Jessica,495,0.000256594478087
1953,F,Amanda,428,0.000221863508326
1953,F,Ashley,15,7.7755902450555E-06
1954,F,Linda,55371,0.027815789156409
1954,F,Deborah,54674,0.027465649100386
1954,F,Patricia,49133,0.024682111007961
1954,F,Betty,10615,0.005332477323785
1954,F,Dorothy,7791,0.003913832390919
1954,F,Helen,5940,0.002983976948025
1954,F,Amanda,428,0.000215007093225
1954,F,Jessica,424,0.000212997681138
1954,F,Ashley,21,1.0549413452612E-05
1955,F,Deborah,52314,0.026099932497594
1955,F,Linda,51279,0.025583561542687
1955,F,Patricia,46210,0.02305459113648
1955,F,Betty,9928,0.004953169894027
1955,F,Dorothy,7241,0.003612601047809
1955,F,Helen,5596,0.002791895520445
1955,F,Amanda,452,0.0002255069291
1955,F,Jessica,386,0.000192578926178
1955,F,Ashley,8,3.9912730814075E-06
1956,F,Linda,48067,0.023341086664109
1956,F,Deborah,47829,0.023225515094715
1956,F,Patricia,43332,0.021041795146965
1956,F,Betty,9213,0.004473785163136
1956,F,Dorothy,6862,0.003332151719248
1956,F,Helen,5279,0.00256345510433
1956,F,Amanda,643,0.000312237475295
1956,F,Jessica,406,0.000197151500731
1956,F,Ashley,25,1.21398707346564E-05
1957,F,Linda,44495,0.021213187408344
1957,F,Deborah,40065,0.019101165378476
1957,F,Patricia,39277,0.01872548290454
1957,F,Betty,8474,0.004040016858036
1957,F,Dorothy,6401,0.003051704969116
1957,F,Helen,5015,0.002390923358868
1957,F,Amanda,667,0.000317995190502
1957,F,Jessica,476,0.000226935098469
1957,F,Ashley,27,1.28723690307964E-05
1958,F,Linda,41898,0.020289480298168
1958,F,Patricia,37932,0.01836890941501
1958,F,Deborah,32936,0.015949551842581
1958,F,Betty,7709,0.003733152026793
1958,F,Dorothy,5539,0.002682310166871
1958,F,Helen,4763,0.002306525243691
1958,F,Amanda,796,0.000385470101612
1958,F,Jessica,529,0.000256172969539
1958,F,Ashley,38,1.84018390216808E-05
1959,F,Linda,40409,0.019441639238731
1959,F,Patricia,35221,0.01694558082673
1959,F,Deborah,29552,0.01421810296674
1959,F,Betty,7317,0.003520366114227
1959,F,Dorothy,5238,0.002520114487675
1959,F,Helen,4378,0.002106349986072
1959,F,Amanda,858,0.000412802258577
1959,F,Jessica,523,0.000251626551557
1959,F,Ashley,37,1.78014959992341E-05
1960,F,Linda,37314,0.017940026827826
1960,F,Patricia,32107,0.015436577192502
1960,F,Deborah,25269,0.012148966551759
1960,F,Betty,6503,0.003126547528042
1960,F,Dorothy,5077,0.002440947531888
1960,F,Helen,4069,0.001956315837552
1960,F,Amanda,977,0.000469727346593
1960,F,Jessica,560,0.000269239830187
1960,F,Ashley,57,2.74047684297068E-05
1961,F,Linda,35574,0.017133981143662
1961,F,Patricia,28867,0.013903599080061
1961,F,Deborah,24092,0.01160375200183
1961,F,Betty,5580,0.002687569988802
1961,F,Dorothy,4726,0.00227624655324
